GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
tp-technique-test,fr.univavignon.pokedex.api,Team,0,34,0,0,0,4,0,1,0,1
tp-technique-test,fr.univavignon.pokedex.api,PokemonFactory,5,32,0,0,3,5,0,2,0,2
tp-technique-test,fr.univavignon.pokedex.api,PokedexException,0,4,0,0,0,2,0,1,0,1
tp-technique-test,fr.univavignon.pokedex.api,PokemonMetadataProvider,2,60,2,6,1,10,2,4,0,2
tp-technique-test,fr.univavignon.pokedex.api,Pokedex,14,52,0,0,2,15,2,6,2,6
tp-technique-test,fr.univavignon.pokedex.api,PokemonMetadata,0,33,0,0,0,12,0,6,0,6
tp-technique-test,fr.univavignon.pokedex.api,PokemonTrainerFactory,0,19,0,0,0,3,0,2,0,2
tp-technique-test,fr.univavignon.pokedex.api,PokedexFactory,0,9,0,0,0,2,0,2,0,2
tp-technique-test,fr.univavignon.pokedex.api,PokemonTrainer,3,18,0,0,1,7,1,3,1,3
tp-technique-test,fr.univavignon.pokedex.api,PokemonComparators,0,54,0,0,0,8,0,3,0,3
tp-technique-test,fr.univavignon.pokedex.api,Pokemon,3,35,0,0,1,11,1,5,1,5
